TEA,SLN,AreaSqMi,popaduE,popaduM,bachE,bachM,profE,profM,k34E,k34M,multdegE,multdegM,k34esE,k34esM,multdegCV,k34esCV,oostct,oostcap,oostcap_me,qualcc,kidsE
149,149,12.5663706144,46412,4227,2878,1175,1218,606,2912,1469,4135,1410.71395106,1379,1109.34612589,25.7115043514,57.7688417563,16,1580,98.75,0,24184.9859569
152,152,12.5663706144,51037,5061,4549,1767,1957,952,3515,1759,6570,2139.68485314,1637,1387.65744939,24.185327359,57.5886721526,43,3177,73.8837209302,2,27798.9081099
157,157,12.5663706144,35744,3498,6776,1808,3436,1062,1297,910,10239,2168.37868177,683,780.657061812,19.3325194535,73.2378962786,29,2147,74.0344827586,2,12885.9993447
158,158,12.5663706144,51683,4868,5611,1810,2727,1032,3101,1599,8394,2208.69297596,1337,1213.18925784,21.8795339384,67.8272976612,30,2499,83.3,1,25073.2550567
275,275,12.5663706144,44038,4197,5338,1605,2774,995,2486,1321,8150,1989.61097479,992,970.644612248,20.8694562054,70.9024083036,28,3099,110.678571429,1,20398.3919884
190,190,12.5663706144,47133,4419,4080,1390,1946,795,2864,1445,6075,1716.24014072,1072,1023.28848215,24.5006466273,68.552106869,18,1698,94.3333333333,1,23543.033756
192,192,12.5663706144,46527,4630,5810,1897,2980,1099,2427,1416,8850,2314.1516391,1220,1186.73248932,22.1306408519,68.8424382078,39,3173,81.358974359,2,22251.2312719
197,197,12.5663706144,42395,4171,6231,1867,3208,1114,2016,1229,9488,2271.07096306,1040,1043.99376259,20.0893043045,75.2927658004,36,3022,83.9444444444,2,18366.2860546
204,204,12.5663706144,43452,4221,5996,1744,3128,1102,2357,1303,9156,2157.47742624,1041,1005.68625309,18.9849539583,72.0971250112,33,3529,106.939393939,2,19324.5540011
239,239,12.5663706144,52572,4915,4253,1576,1811,836,3281,1648,6116,1915.75473014,1439,1248.97882945,25.2415164446,64.5126169507,21,1817,86.5238095238,1,26828.143652
211,211,12.5663706144,34184,3402,4480,1234,2389,818,2039,1081,6896,1561.366372,866,787.339596308,23.3978734998,70.1259897919,26,2793,107.423076923,1,15419.69229
229,229,12.5663706144,52258,5101,5816,1949,2747,1066,3266,1684,8624,2359.35209248,1534,1360.73268414,21.9967652881,63.0840548271,40,3276,81.9,2,26025.6278282
171,171,12.5663706144,41053,3542,15640,2698,10542,2219,1587,887,26177,3531.79570446,1022,795.111240169,8.11201920036,39.4151575839,12,1177,98.0833333333,1,10572.59831
125,125,12.5663706144,43092,4078,6819,1950,3581,1274,2517,1386,10417,2353.35342028,829,868.25117768,16.1973023897,57.629497088,18,1331,73.9444444444,0,17644.3911408
147,147,12.5663706144,43759,4246,5664,1906,2607,1174,2805,1560,8281,2261.51596215,996,1010.08190573,18.8676932427,58.1780836727,12,837,69.75,1,20159.9206581
153,153,12.5663706144,32874,2480,10347,1839,7186,1524,1347,685,17550,2408.20867853,688,555.812564157,8.75421047648,49.616115098,21,1867,88.9047619048,0,9395.98254606
159,159,12.5663706144,50620,4685,16476,3415,10582,2590,2147,1210,27075,4325.32472937,976,969.417378667,9.83686167641,60.1005401623,29,3318,114.413793103,1,15550.8347252
166,166,12.5663706144,44977,4197,5561,1815,2795,1219,2625,1522,8364,2213.8627245,888,906.699490772,19.031415051,53.8461674668,15,1203,80.2,0,21364.0769333
198,198,12.5663706144,39350,3499,8087,1885,4662,1334,2135,1109,12769,2335.65326632,735,721.868900357,13.459168741,59.4329067815,21,1769,84.2380952381,0,14717.3727028
199,199,12.5663706144,38286,3337,7825,1802,4958,1387,1719,1003,12799,2287.38886044,564,594.927657647,12.426862651,50.0039172043,23,1802,78.347826087,0,13075.7089028
250,250,12.5663706144,28821,3237,1301,759,462,353,1449,1006,1801,886.964041756,638,667.271292342,33.4550677917,55.6962814342,32,2284,71.375,7,12814.9288128
172,172,12.5663706144,45361,4190,3565,1358,1566,770,3238,1583,5202,1678.42056328,1556,1226.03032129,23.8581970425,52.76221467,25,2081,83.24,1,24867.7585625
