TEA,SLN,AreaSqMi,totalpopE,popunisE,popinsE,priE,pub,bphighE,casthmaE,checkupE,SUM_mhlthE,obseityE,phlthE,sleepE,strokeE,POP,SCHOOLNAME,STD_hel_le,MEAN_hel_l,pharm,clinicct,groc,avgfruits,avgveg
159,159,12.5663706144,72346,12191,60154,47606,17693,20110.507314,6107.28487011,46775.4733097,9114.70884344,21379.1871035,7667.60875519,22790.2269122,1716.41134475,72141.6583686,Hotchkiss Elementary School,1.50220037953,65.2617234603,29,7,9,219.632338292,221.785980951
166,166,12.5663706144,74035,19910,54116,33236,24630,34911.7051556,9854.6831176,66964.5110265,16523.8571918,36954.5657536,15889.6940021,36040.7940603,3713.77496469,101606.074086,Kiest Elementary School,1.35712902355,77.9774214428,9,2,7,184.958762521,191.544140165
198,198,12.5663706144,58384,14372,44007,31128,16053,19488.350804,5465.37110667,39983.8459958,8768.28521822,20148.8512446,8297.12417458,20284.2653815,1901.98223614,60954.7101052,Reilly Elementary School,1.58595265881,74.6523176418,14,1,7,198.226502676,203.104729012
199,199,12.5663706144,55742,12937,42799,30962,15039,21265.5575721,5882.68814017,42942.6318954,9346.98798675,21769.6292723,9024.6804662,21556.0636248,2106.64130133,64977.0671268,Reinhardt Elementary School,1.97737694966,78.4551924281,14,1,6,200.567975392,208.309134573
250,250,12.5663706144,45756,11460,34288,13089,22425,22739.5979736,5544.09575997,33891.5218076,8428.14379662,21287.8965044,9194.8851282,19303.2975365,3201.98319269,45566.2696172,Young Jr. Elementary School,2.02111722615,70.5183700615,7,1,3,131.956782844,135.450622368
172,172,12.5663706144,80202,21081,59111,32949,28559,27506.5154156,7662.00325277,51935.0071063,13248.3828126,30666.5140562,12962.7474936,28881.6475373,2960.21334506,79534.8194334,Brashear Elementary School,1.90968234428,73.9413235888,14,3,10,171.958501623,180.284439746
183,183,12.5663706144,47408,10547,36857,18144,21406,21780.6731433,5368.22076537,34464.3830261,7836.37860897,20450.8442224,8256.11776595,18872.3260617,2771.18736149,46676.0278485,Marsalis Elementary School,2.30293421427,72.696408159,7,2,2,163.809995567,169.197532267
210,210,12.5663706144,51986,15164,36808,21460,16924,16674.6566829,4888.23986426,33015.3426351,8760.53674596,19523.3474892,8258.81384099,18654.220249,1700.38351976,51717.5276525,Stemmons Elementary School,2.16199685502,77.5562781516,4,1,4,178.944106568,189.022793369
213,213,12.5663706144,46513,9565,36948,19444,20275,21233.7861657,5316.37254681,34372.0795582,7502.90744268,20068.8600762,7686.70283455,18630.8331317,2501.20380473,46170.4974708,Terry Elementary School,1.79333413388,73.1941139948,5,2,1,178.084822133,183.807145536
215,215,12.5663706144,38107,7989,30110,14542,17565,18359.0618397,4477.24847919,28383.5527406,6439.25431836,17038.9958536,6892.87761792,15602.8942864,2377.84269731,37889.1237384,Thornton Elementary School,2.36418398991,71.3451272533,5,1,2,152.796152423,157.87360157
