TEA,SLN,AreaSqMi,hhcE,hhcmhE,hhcmhM,hhcfhE,hhcfhM,tphhE,affcc,affcc_capa,lcc,kidsE
205,205,12.5663706144,7338.05393152,837.531091575,728.854586009,2685.34933574,1256.7044013,3815.1735042,25,1658,34,22369.5998246
233,233,12.5663706144,6444.13222852,583.472793078,574.964410979,1933.62353684,1064.86323208,3927.0358986,4,276,22,12127.1044085
120,120,12.5663706144,7140.1283537,348.273274482,384.168599766,1577.12000872,813.45518469,5214.7350705,3,72,9,15396.1711559
135,135,12.5663706144,5685.12445398,237.295096058,317.945203794,1040.16905022,733.193008821,4407.6603077,4,405,18,11620.0647043
148,148,12.5663706144,4801.49404744,160.550874606,271.574644942,916.128130564,689.350873843,3724.81504227,2,144,20,8715.53169428
182,182,12.5663706144,4754.6532902,240.250535647,301.122312219,1002.80626017,674.225815136,3511.59649439,6,521,14,10118.929529
193,193,12.5663706144,4016.65816519,110.292097054,209.215387192,393.224700131,329.526503497,3513.14136801,1,113,22,6809.38705438
224,224,12.5663706144,5252.54840962,178.753620065,240.48044494,791.820538929,453.96954066,4281.97425063,1,102,14,10516.8112823
230,230,12.5663706144,4935.17442915,133.786258959,235.133276289,757.775883664,580.581353853,4043.61228653,1,8,15,9373.6908827
195,195,12.5663706144,5340.08217361,188.616197879,304.8331205,729.986807806,546.249709347,4421.47916793,2,181,22,9231.52779289
176,176,12.5663706144,8647.45887527,689.38917511,791.964088877,1961.78692176,1295.55341044,5996.2827784,8,836,23,16842.5763257
286,286,12.5663706144,8046.52137313,713.154251468,764.973017842,2112.69764181,1291.89289494,5220.66947985,11,1026,23,16235.6737699
141,141,12.5663706144,8218.558198,604.370362705,717.787136134,1625.47892063,1136.601056,5988.70891467,6,756,22,16312.7557323
101,101,12.5663706144,7854.3514744,495.823427128,510.787205986,2418.26137742,1097.73061654,4940.26666986,20,1429,23,22658.4687022
104,104,12.5663706144,6581.33623549,487.448059792,437.093692152,1728.4936751,845.261265734,4365.3945006,10,782,12,18777.9076831
110,110,12.5663706144,8888.38038257,660.011882978,640.817411601,2693.91333315,1249.93641453,5534.45516644,16,1200,19,25122.537405
276,276,12.5663706144,5786.44095151,544.453749334,420.757863829,1530.56386826,746.378088467,3711.42333392,9,767,9,16261.0379303
137,137,12.5663706144,5703.14990489,409.920422676,358.345199155,1522.02089179,730.498536684,3771.20859043,11,979,12,16028.4580985
156,156,12.5663706144,7206.31764656,414.924414481,451.778296237,2235.26334582,1011.62889503,4556.12988627,16,1006,19,21039.5737313
170,170,12.5663706144,3980.99441237,386.12592733,283.375847298,1061.07795277,513.728523043,2533.79053227,7,422,7,11045.0024047
180,180,12.5663706144,6678.24893729,417.220384331,424.259523358,2000.16881874,911.321445679,4260.85973422,17,1297,19,19219.5080961
237,237,12.5663706144,7700.08180324,774.44350409,632.301156956,2322.99933983,1085.28622286,4602.63895932,10,790,11,21323.4255309
234,234,12.5663706144,4759.95099941,339.389428923,339.110563275,1598.89008141,695.058241705,2821.67148907,11,562,12,14433.8824019
161,161,12.5663706144,5687.32362433,355.101555716,372.337099694,1834.77862308,801.773216189,3497.44344553,14,810,16,17018.2555698
207,207,12.5663706144,7516.62027818,426.470144767,458.770317279,2264.85168953,1047.00553602,4825.29844388,20,1104,24,21403.1612926
222,222,12.5663706144,5996.95458794,290.165274898,339.25011378,1728.65757508,868.610534749,3978.13173796,12,587,14,16352.5224382
303,303,12.5663706144,6401.2654811,360.493201453,399.965218808,1813.19634238,882.657738795,4227.57593726,17,963,21,18711.457134
119,119,12.5663706144,5816.73350535,307.208083424,373.915499594,1226.64023017,861.126274891,4282.88519176,4,457,18,11924.5283
279,279,12.5663706144,5927.61886011,335.826337466,375.683802493,1875.39282763,1006.4310338,3716.39969502,6,566,13,11376.8330998
304,304,12.5663706144,5319.88510375,381.06847201,422.100393668,1572.92700859,1013.85080336,3365.88962316,8,653,17,10462.0599924
154,154,12.5663706144,8605.70393284,850.162672969,742.575692894,2579.30961809,1280.44692623,5176.23164178,15,1201,21,21710.7941875
126,126,12.5663706144,1270.21317296,110.39175302,93.074928096,364.97472936,120.622745951,794.846690583,2,182,2,3208.50626319
208,208,12.5663706144,765.092767914,88.3528614722,69.636425146,214.989949444,84.8945445112,461.749956997,2,182,2,1999.23739263
244,244,12.5663706144,1973.94982769,261.654055484,177.626645215,626.246348081,215.824830317,1086.04942412,1,73,1,5038.2843229
173,173,12.5663706144,5206.65976898,469.824649714,500.925835612,1950.47852686,878.204709722,2786.35659241,19,1248,26,13285.6891955
194,194,12.5663706144,4864.64470316,336.334018295,407.685958019,796.045017738,577.609319623,3732.26566713,5,681,15,9683.17797078
107,107,12.5663706144,6751.86807335,354.849508052,368.043117987,1529.87955421,731.636428924,4867.13901109,4,157,6,15137.6131918
13,13,12.5663706144,3659.34882362,467.890412361,472.4810282,1482.56799083,808.883533866,1708.89042042,15,1105,21,10550.7624991
16,16,12.5663706144,6332.99277481,701.397133348,652.381367909,2478.81966507,1167.7979295,3152.77597639,38,2516,43,19461.2050632
7,7,12.5663706144,6474.82545964,196.033757386,272.002883751,1233.48741761,612.196339958,5045.30428464,4,174,16,13587.3431471
21,21,12.5663706144,5666.90001725,422.936356838,456.895228017,1402.11930607,834.425402039,3841.84435434,3,191,25,10414.3545393
28,28,12.5663706144,8742.96645407,730.272851796,828.916471095,2153.07529828,1349.32913851,5859.618304,10,961,22,17299.5062035
14,14,12.5663706144,9132.68295605,666.769734238,645.888735999,2693.37352092,1268.81726915,5772.5397009,15,1157,19,25861.431196
17,17,12.5663706144,5385.60543716,417.132321793,342.964635297,1396.09685269,679.968467621,3572.37626268,9,767,10,14968.6915259
25,25,12.5663706144,6926.13363112,367.687038544,387.065234933,2192.49014504,1038.70543985,4365.95644753,13,699,16,18388.228787
9,9,12.5663706144,2311.47310584,284.209017181,299.455776221,1162.29050939,541.071216083,864.973579268,13,880,16,7008.60299141
206,206,12.5663706144,6157.36794369,332.564887856,344.963469889,1787.59116755,944.253769556,4037.21188828,13,1102,22,13747.946857
263,263,12.5663706144,2875.17362408,330.468550373,381.187502177,1580.36003528,737.721143361,964.345038425,13,714,12,8919.62733049
51,51,12.5663706144,4553.12814578,470.597247704,528.676438207,2055.964385,1002.95796766,2026.56651308,26,1439,24,14683.6056575
273,273,12.5663706144,8485.39063798,659.807235164,599.678475001,2487.50900276,1172.61585793,5338.07440006,14,1069,16,23666.7537543
